日期,时段编号,时间,小区负载（kW）,光伏实际功率（kW）,净溢出功率（kW）,净溢出电量（kWh）,实际电价（元/kWh）
2025-01-01,0,0:10,3529.7296,0.0,-3529.7296,-588.2882666666667,0.4527
2025-01-01,1,0:20,3609.5287,0.0,-3609.5287,-601.5881166666667,0.4733
2025-01-01,2,0:30,3726.56,0.0,-3726.56,-621.0933333333334,0.4843
2025-01-01,3,0:40,3510.6311,0.0,-3510.6311,-585.1051833333333,0.4541
2025-01-01,4,0:50,3502.5625,0.0,-3502.5625,-583.7604166666666,0.4266
2025-01-01,5,1:00,3787.01,0.0,-3787.01,-631.1683333333334,0.4311
2025-01-01,6,1:10,3900.3205,0.0,-3900.3205,-650.0534166666666,0.4544
2025-01-01,7,1:20,3916.8376,0.0,-3916.8376,-652.8062666666666,0.4483
2025-01-01,8,1:30,3817.28,0.0,-3817.28,-636.2133333333334,0.4251
2025-01-01,9,1:40,3533.0136,0.0,-3533.0136,-588.8356,0.444
2025-01-01,10,1:50,3694.6613,0.0,-3694.6613,-615.7768833333333,0.478
2025-01-01,11,2:00,4064.73,0.0,-4064.73,-677.455,0.4941
2025-01-01,12,2:10,3810.671,0.0,-3810.671,-635.1118333333333,0.484
2025-01-01,13,2:20,3844.9495,0.0,-3844.9495,-640.8249166666667,0.4751
2025-01-01,14,2:30,4234.62,0.0,-4234.62,-705.77,0.488
2025-01-01,15,2:40,4109.9755,0.0,-4109.9755,-684.9959166666666,0.5215
2025-01-01,16,2:50,3996.8945,0.0,-3996.8945,-666.1490833333334,0.5498
2025-01-01,17,3:00,4102.19,0.0,-4102.19,-683.6983333333333,0.5471
2025-01-01,18,3:10,4086.0577,0.0,-4086.0577,-681.0096166666666,0.5067
2025-01-01,19,3:20,4133.7626,0.0,-4133.7626,-688.9604333333333,0.4769
2025-01-01,20,3:30,4179.18,0.0,-4179.18,-696.5300000000001,0.4669
2025-01-01,21,3:40,3953.3711,0.0,-3953.3711,-658.8951833333333,0.4501
2025-01-01,22,3:50,3910.7496,0.0,-3910.7496,-651.7916,0.4608
2025-01-01,23,4:00,4099.31,0.0,-4099.31,-683.2183333333334,0.4927
2025-01-01,24,4:10,4123.8623,0.0,-4123.8623,-687.3103833333333,0.4976
2025-01-01,25,4:20,4169.0068,0.0,-4169.0068,-694.8344666666667,0.4889
2025-01-01,26,4:30,4260.24,0.0,-4260.24,-710.04,0.4885
2025-01-01,27,4:40,4217.2222,0.0,-4217.2222,-702.8703666666667,0.5042
2025-01-01,28,4:50,4261.857,0.0,-4261.857,-710.3095,0.5178
2025-01-01,29,5:00,4341.9,0.0,-4341.9,-723.65,0.5042
2025-01-01,30,5:10,4208.2208,0.0021,-4208.2187,-701.3697833333334,0.4639
2025-01-01,31,5:20,4302.1233,0.0,-4302.1233,-717.0205500000001,0.4899
2025-01-01,32,5:30,4456.59,0.0,-4456.59,-742.765,0.5194
2025-01-01,33,5:40,4148.637,0.0299,-4148.607099999999,-691.4345166666666,0.4459
2025-01-01,34,5:50,4498.1333,0.0,-4498.1333,-749.6888833333334,0.6726
2025-01-01,35,6:00,5369.38,0.0,-5369.38,-894.8966666666666,1.0693
2025-01-01,36,6:10,5440.8991,0.4169,-5440.4821999999995,-906.7470333333332,1.0696
2025-01-01,37,6:20,5316.893,0.0,-5316.893,-886.1488333333333,0.9974
2025-01-01,38,6:30,5399.82,0.0,-5399.82,-899.9699999999999,1.0451
2025-01-01,39,6:40,5447.4007,5.8062,-5441.5945,-906.9324166666667,1.0684
2025-01-01,40,6:50,5444.401,0.0,-5444.401,-907.4001666666667,1.0267
2025-01-01,41,7:00,5433.63,3.075,-5430.555,-905.0925000000001,0.9814
2025-01-01,42,7:10,5449.2818,175.7953,-5273.4865,-878.9144166666666,1.0187
2025-01-01,43,7:20,5510.0042,421.496,-5088.5082,-848.0847,1.0362
2025-01-01,44,7:30,5476.0,677.1,-4798.9,-799.8166666666666,0.967
2025-01-01,45,7:40,5329.4215,950.8112,-4378.6103,-729.7683833333334,0.893
2025-01-01,46,7:50,6084.1163,1255.5705,-4828.5458,-804.7576333333333,1.136
2025-01-01,47,8:00,7316.0,1592.2875,-5723.7125,-953.9520833333332,1.5209
2025-01-01,48,8:10,7469.4947,1937.5212,-5531.9735,-921.9955833333333,1.5206
2025-01-01,49,8:20,7225.691,2225.1261,-5000.564899999999,-833.4274833333333,1.4132
2025-01-01,50,8:30,7216.13,2490.1125,-4726.0175,-787.6695833333333,1.3895
2025-01-01,51,8:40,7361.7004,2826.3146,-4535.3858,-755.8976333333334,1.361
2025-01-01,52,8:50,7275.513,3122.1315,-4153.3814999999995,-692.23025,1.3028
